episode[sid]                                                                                n     w<0  flip  min|w|  |w|<.05   dRaw  dHemi  yawWrap
thor_gmsl2_11ch_v1_20260713_075106/episode_000000[box_imu]                               2007  100.0%     0   0.270        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260713_075106/episode_000001[box_imu]                                827  100.0%     0   0.270        0  0.000  0.000        0
thor_gmsl2_7ch_v1_20260717_145956/episode_000000[box_imu]                                1967   38.3%     0   0.000      309  0.005  2.000        0
thor_gmsl2_7ch_v1_20260717_145956/episode_000001[box_imu]                                1580   13.7%     0   0.000      677  0.007  2.000        0
thor_gmsl2_7ch_v1_20260717_145956/episode_000002[box_imu]                                2008   32.8%     0   0.000      342  0.003  2.000        0
thor_gmsl2_7ch_v1_20260717_145956/episode_000003[box_imu]                                2000    0.0%     0   0.536        0  0.001  0.001        0
thor_gmsl2_7ch_v1_20260717_160123/episode_000000[box1672693301/box_imu]                  2008    0.0%     0   0.142        0  0.007  0.007        0
thor_gmsl2_7ch_v1_20260717_160123/episode_000000[box1819152274/box_imu]                  2011  100.0%     0   0.033       34  0.010  0.010        0
thor_gmsl2_7ch_v1_20260720_151325/episode_000000[box_imu]                                1149    0.0%     0   0.004     1149  0.000  0.000        0
thor_gmsl2_7ch_v1_20260723_095140/episode_000000[box_imu]                                2008   77.8%     0   0.000     1002  0.004  2.000        0
thor_gmsl2_8ch_v1_20260713_084642/episode_000000[box_imu]                                1058  100.0%     0   0.270        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260713_091531/episode_000000[box_imu]                                2007  100.0%     0   0.050        3  0.004  0.004        0
thor_gmsl2_8ch_v1_20260713_092906/episode_000000[box_imu]                                2008  100.0%     0   0.057        0  0.007  0.007        0
thor_gmsl2_8ch_v1_20260713_092906/episode_000001[box_imu]                                1996  100.0%     0   0.011       50  0.008  0.008        0
thor_gmsl2_8ch_v1_20260715_014507/episode_000000[box_imu]                                1402    0.0%     0   0.299        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_020205/episode_000000[box_imu]                                1999    0.0%     0   0.299        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_024518/episode_000000[box_imu]                                2009    0.0%     0   0.299        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_030235/episode_000000[box_imu]                                2007    0.0%     0   0.299        0  0.000  0.000        0
